filename,modality,vocal_channel,emotion,emotion_code,intensity,intensity_code,statement,statement_code,repetition,actor,actor_code,valid,relative_path,actor_folder
03-01-04-01-01-02-14.wav,03,01,sad,04,normal,01,Kids are talking by the door,01,02,Actor_14,14,True,Actor_14/03-01-04-01-01-02-14.wav,Actor_14
03-01-01-01-01-01-14.wav,03,01,neutral,01,normal,01,Kids are talking by the door,01,01,Actor_14,14,True,Actor_14/03-01-01-01-01-01-14.wav,Actor_14
03-01-08-02-01-01-14.wav,03,01,surprised,08,strong,02,Kids are talking by the door,01,01,Actor_14,14,True,Actor_14/03-01-08-02-01-01-14.wav,Actor_14
03-01-07-01-01-02-14.wav,03,01,disgust,07,normal,01,Kids are talking by the door,01,02,Actor_14,14,True,Actor_14/03-01-07-01-01-02-14.wav,Actor_14
03-01-07-02-02-02-14.wav,03,01,disgust,07,strong,02,Dogs are sitting by the door,02,02,Actor_14,14,True,Actor_14/03-01-07-02-02-02-14.wav,Actor_14
03-01-08-02-02-01-14.wav,03,01,surprised,08,strong,02,Dogs are sitting by the door,02,01,Actor_14,14,True,Actor_14/03-01-08-02-02-01-14.wav,Actor_14
03-01-05-01-02-01-14.wav,03,01,angry,05,normal,01,Dogs are sitting by the door,02,01,Actor_14,14,True,Actor_14/03-01-05-01-02-01-14.wav,Actor_14
03-01-03-02-02-02-14.wav,03,01,happy,03,strong,02,Dogs are sitting by the door,02,02,Actor_14,14,True,Actor_14/03-01-03-02-02-02-14.wav,Actor_14
03-01-02-02-02-01-14.wav,03,01,calm,02,strong,02,Dogs are sitting by the door,02,01,Actor_14,14,True,Actor_14/03-01-02-02-02-01-14.wav,Actor_14
03-01-06-02-01-01-14.wav,03,01,fearful,06,strong,02,Kids are talking by the door,01,01,Actor_14,14,True,Actor_14/03-01-06-02-01-01-14.wav,Actor_14
03-01-04-02-01-02-14.wav,03,01,sad,04,strong,02,Kids are talking by the door,01,02,Actor_14,14,True,Actor_14/03-01-04-02-01-02-14.wav,Actor_14
03-01-05-01-02-02-14.wav,03,01,angry,05,normal,01,Dogs are sitting by the door,02,02,Actor_14,14,True,Actor_14/03-01-05-01-02-02-14.wav,Actor_14
03-01-04-02-02-01-14.wav,03,01,sad,04,strong,02,Dogs are sitting by the door,02,01,Actor_14,14,True,Actor_14/03-01-04-02-02-01-14.wav,Actor_14
03-01-02-01-01-02-14.wav,03,01,calm,02,normal,01,Kids are talking by the door,01,02,Actor_14,14,True,Actor_14/03-01-02-01-01-02-14.wav,Actor_14
03-01-05-02-01-01-14.wav,03,01,angry,05,strong,02,Kids are talking by the door,01,01,Actor_14,14,True,Actor_14/03-01-05-02-01-01-14.wav,Actor_14
03-01-07-02-01-01-14.wav,03,01,disgust,07,strong,02,Kids are talking by the door,01,01,Actor_14,14,True,Actor_14/03-01-07-02-01-01-14.wav,Actor_14
03-01-08-02-02-02-14.wav,03,01,surprised,08,strong,02,Dogs are sitting by the door,02,02,Actor_14,14,True,Actor_14/03-01-08-02-02-02-14.wav,Actor_14
03-01-07-02-02-01-14.wav,03,01,disgust,07,strong,02,Dogs are sitting by the door,02,01,Actor_14,14,True,Actor_14/03-01-07-02-02-01-14.wav,Actor_14
03-01-04-01-02-02-14.wav,03,01,sad,04,normal,01,Dogs are sitting by the door,02,02,Actor_14,14,True,Actor_14/03-01-04-01-02-02-14.wav,Actor_14
03-01-06-01-02-02-14.wav,03,01,fearful,06,normal,01,Dogs are sitting by the door,02,02,Actor_14,14,True,Actor_14/03-01-06-01-02-02-14.wav,Actor_14
03-01-08-02-01-02-14.wav,03,01,surprised,08,strong,02,Kids are talking by the door,01,02,Actor_14,14,True,Actor_14/03-01-08-02-01-02-14.wav,Actor_14
03-01-04-01-01-01-14.wav,03,01,sad,04,normal,01,Kids are talking by the door,01,01,Actor_14,14,True,Actor_14/03-01-04-01-01-01-14.wav,Actor_14
03-01-03-02-02-01-14.wav,03,01,happy,03,strong,02,Dogs are sitting by the door,02,01,Actor_14,14,True,Actor_14/03-01-03-02-02-01-14.wav,Actor_14
03-01-03-01-02-02-14.wav,03,01,happy,03,normal,01,Dogs are sitting by the door,02,02,Actor_14,14,True,Actor_14/03-01-03-01-02-02-14.wav,Actor_14
03-01-02-01-02-01-14.wav,03,01,calm,02,normal,01,Dogs are sitting by the door,02,01,Actor_14,14,True,Actor_14/03-01-02-01-02-01-14.wav,Actor_14
03-01-02-01-01-01-14.wav,03,01,calm,02,normal,01,Kids are talking by the door,01,01,Actor_14,14,True,Actor_14/03-01-02-01-01-01-14.wav,Actor_14
03-01-06-02-01-02-14.wav,03,01,fearful,06,strong,02,Kids are talking by the door,01,02,Actor_14,14,True,Actor_14/03-01-06-02-01-02-14.wav,Actor_14
03-01-01-01-01-02-14.wav,03,01,neutral,01,normal,01,Kids are talking by the door,01,02,Actor_14,14,True,Actor_14/03-01-01-01-01-02-14.wav,Actor_14
03-01-07-01-02-02-14.wav,03,01,disgust,07,normal,01,Dogs are sitting by the door,02,02,Actor_14,14,True,Actor_14/03-01-07-01-02-02-14.wav,Actor_14
03-01-05-02-02-01-14.wav,03,01,angry,05,strong,02,Dogs are sitting by the door,02,01,Actor_14,14,True,Actor_14/03-01-05-02-02-01-14.wav,Actor_14
03-01-03-01-01-01-14.wav,03,01,happy,03,normal,01,Kids are talking by the door,01,01,Actor_14,14,True,Actor_14/03-01-03-01-01-01-14.wav,Actor_14
03-01-02-02-01-01-14.wav,03,01,calm,02,strong,02,Kids are talking by the door,01,01,Actor_14,14,True,Actor_14/03-01-02-02-01-01-14.wav,Actor_14
03-01-07-01-02-01-14.wav,03,01,disgust,07,normal,01,Dogs are sitting by the door,02,01,Actor_14,14,True,Actor_14/03-01-07-01-02-01-14.wav,Actor_14
03-01-04-02-02-02-14.wav,03,01,sad,04,strong,02,Dogs are sitting by the door,02,02,Actor_14,14,True,Actor_14/03-01-04-02-02-02-14.wav,Actor_14
03-01-08-01-02-02-14.wav,03,01,surprised,08,normal,01,Dogs are sitting by the door,02,02,Actor_14,14,True,Actor_14/03-01-08-01-02-02-14.wav,Actor_14
03-01-06-01-01-02-14.wav,03,01,fearful,06,normal,01,Kids are talking by the door,01,02,Actor_14,14,True,Actor_14/03-01-06-01-01-02-14.wav,Actor_14
